epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7838.73,0.28355,0.10733,0.09264,0.20502,0.99937,0.99982,1,0.995,0.98565,0.94529,0.94545,0.93934,0.92081,0.24212,0.6128,0.02201,0.20558,0.868,0.00068825,0.00068825,0.00068825
55,7982.8,0.28055,0.09883,0.08912,0.20928,0.99367,0.99983,1,0.995,0.98429,0.94226,0.94242,0.94045,0.92007,0.23894,0.61955,0.01495,0.19576,0.86205,0.0006635,0.0006635,0.0006635
56,8125.22,0.28574,0.09941,0.08482,0.20804,0.99684,0.99982,1,0.995,0.97838,0.95437,0.95455,0.9494,0.91825,0.25298,0.54621,0.01378,0.1975,0.882,0.00063875,0.00063875,0.00063875
57,8266.21,0.28008,0.09643,0.08851,0.20353,1.00036,0.99981,1,0.995,0.98481,0.94831,0.94848,0.93501,0.91068,0.24289,0.57965,0.01687,0.19407,0.85973,0.000614,0.000614,0.000614
58,8408.4,0.27573,0.09014,0.0841,0.20421,0.99398,0.99982,1,0.995,0.98926,0.93619,0.93636,0.93471,0.91309,0.21647,0.69089,0.01814,0.18583,0.84391,0.00058925,0.00058925,0.00058925
59,8551.52,0.26947,0.09611,0.08118,0.19746,0.9863,0.99978,1,0.995,0.98765,0.9513,0.95152,0.93978,0.92219,0.23291,0.49323,0.0123,0.18945,0.86042,0.0005645,0.0005645,0.0005645
60,8693.85,0.27166,0.09304,0.08391,0.20303,0.99048,0.99983,1,0.995,0.98673,0.94226,0.94242,0.93406,0.92065,0.22864,0.58511,0.01059,0.18724,0.8509,0.00053975,0.00053975,0.00053975
61,8835.21,0.26903,0.08436,0.0755,0.19731,0.98072,0.99983,1,0.995,0.98718,0.94226,0.94242,0.94285,0.92477,0.23835,0.56279,0.02247,0.1884,0.87115,0.000515,0.000515,0.000515
62,8979.81,0.27118,0.08647,0.0771,0.20189,0.99253,0.99983,1,0.995,0.9831,0.95438,0.95455,0.96092,0.93682,0.24169,0.55197,0.02763,0.18584,0.86297,0.00049025,0.00049025,0.00049025
63,9123.77,0.27277,0.09585,0.08095,0.19927,0.98899,0.99982,1,0.995,0.98715,0.93316,0.93333,0.9384,0.92531,0.22426,0.59051,0.04659,0.18808,0.84478,0.0004655,0.0004655,0.0004655
64,9270.36,0.25764,0.08503,0.0756,0.19376,0.97615,0.99983,1,0.995,0.9843,0.95135,0.95152,0.94673,0.92222,0.21666,0.50783,0.01018,0.179,0.83355,0.00044075,0.00044075,0.00044075
