epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1009.43,0.33547,0.94387,0.44502,0.24053,1.04333,0.99978,1,0.995,0.97603,0.76043,0.76061,0.67006,0.23001,0.27317,3.03702,0.03023,0.24339,0.91258,0.00116487,0.00116487,0.00116487
38,1036.52,0.33773,0.80647,0.4453,0.24104,1.05812,0.99982,1,0.995,0.96808,0.76394,0.76364,0.68559,0.29075,0.28897,2.64472,0.01591,0.23862,0.97042,0.00112636,0.00112636,0.00112636
39,1063.44,0.33568,0.77313,0.4444,0.24335,1.04845,0.99983,1,0.995,0.98611,0.85753,0.85758,0.83546,0.52805,0.25148,1.8378,0.01299,0.21178,0.89385,0.00108767,0.00108767,0.00108767
40,1090.82,0.32108,0.59639,0.41067,0.23045,1.02911,0.99948,1,0.995,0.97987,0.98434,0.98485,0.98457,0.70153,0.25185,1.25225,0.02876,0.21138,0.89695,0.00104887,0.00104887,0.00104887
41,1117.95,0.31274,0.47536,0.39718,0.23608,1.03062,0.99983,1,0.995,0.94659,0.96658,0.96667,0.97563,0.79176,0.34675,0.91612,0.03615,0.25056,1.02312,0.00101,0.00101,0.00101
42,1145.08,0.32079,0.45037,0.36959,0.23583,1.03813,0.99982,1,0.995,0.97601,0.99073,0.99091,0.98902,0.86469,0.27013,0.57511,0.04444,0.2195,0.90694,0.000971133,0.000971133,0.000971133
43,1172.21,0.30952,0.40974,0.35922,0.2244,1.02205,0.99982,1,0.995,0.98191,0.99376,0.99394,0.99419,0.91624,0.25251,0.44704,0.03647,0.20491,0.89668,0.000932325,0.000932325,0.000932325
44,1200.71,0.30784,0.4086,0.34507,0.22991,1.02695,0.99982,1,0.995,0.9825,0.99679,0.99697,0.99497,0.88167,0.25187,0.50533,0.01689,0.21648,0.9182,0.000893638,0.000893638,0.000893638
45,1227.49,0.31105,0.40482,0.33111,0.22737,1.02591,0.99981,1,0.995,0.98486,0.99678,0.99697,0.99491,0.93492,0.24553,0.36946,0.03744,0.20866,0.88821,0.00085513,0.00085513,0.00085513
46,1254.91,0.3094,0.32687,0.3106,0.21906,1.0265,0.99973,1,0.995,0.9827,0.99367,0.99394,0.9942,0.94785,0.24486,0.28227,0.0155,0.20618,0.88827,0.000816861,0.000816861,0.000816861
47,1281.85,0.29539,0.28041,0.3019,0.21903,1.00747,0.99981,1,0.995,0.97728,0.99375,0.99394,0.99368,0.97726,0.2435,0.27467,0.03007,0.19692,0.8941,0.000778889,0.000778889,0.000778889
